,scale,model,mean_train_r2,mean_cv_r2,p-value,external_score,external_p-value
1,RRQ,kr,0.12556521506780316,0.06896046328464363,0.003996003996003996,0.07052025912471005,0.017982017982017984
11,RRQ,en,0.10430548172777691,0.054986927616471025,0.008991008991008992,0.023258197923339607,0.10589410589410589
13,DASS-21 Anx,kr,0.037890080471798614,-0.014750487318797837,0.1258741258741259,-0.07795745778856511,0.5494505494505495
14,DASS-21 Anx,en,0.03351169929492374,-0.02176720607076532,0.21178821178821178,-0.06746977888650862,0.7102897102897103
34,STAI-T,kr,0.2129169872325206,0.14273808948797118,0.000999000999000999,-0.08749940756585883,0.37962037962037964
35,STAI-T,en,0.19810970758829963,0.13221941962303618,0.000999000999000999,-0.04287422659969509,0.2987012987012987
46,BIS,kr,0.1724410002332899,0.09359037847614038,0.001998001998001998,-0.014924503311031012,0.2057942057942058
47,BIS,en,0.12593902908578625,0.09010125077301394,0.001998001998001998,0.012885170276313307,0.12487512487512488
50,Washing,en,0.0,-0.04838723188217364,0.6253746253746254,-0.0006501130685254708,0.7332667332667333
55,Washing,kr,0.0006460119327087085,-0.04881795091790638,0.6323676323676324,-0.000599229233738896,0.5954045954045954
67,Obsessing,kr,0.09264730378409698,0.030010501822999247,0.015984015984015984,0.006547544598242916,0.21478521478521478
68,Obsessing,en,0.04309178309972065,0.014134954796934643,0.022977022977022976,-0.006860070785155381,0.4405594405594406
79,Hoarding,kr,0.1794453031083446,0.0035054465265117463,0.012987012987012988,-0.23221568787050595,0.5214785214785215
83,Hoarding,en,0.004737901988875581,4.906135166119855e-05,0.016983016983016984,-0.12511405007703247,0.6983016983016983
88,Ordering,kr,0.0928125881482285,0.004296106977318193,0.056943056943056944,-0.10393281404615995,0.8901098901098901
89,Ordering,en,0.09036836667475918,0.00408429970060827,0.059940059940059943,-0.08411818533327531,0.8771228771228772
103,Checking,kr,0.09035779318059019,0.020183993242641196,0.03896103896103896,-0.04156837288087556,0.6703296703296703
104,Checking,en,0.08102218010674837,0.020671322999109936,0.04095904095904096,-0.026217408392508634,0.6623376623376623
118,Neutralizing,kr,0.10320714977537682,-0.0010146260856322236,0.07692307692307693,-0.16242512223358552,0.9230769230769231
119,Neutralizing,en,0.10585632900444845,0.00047093359714948474,0.053946053946053944,-0.16512834854075886,0.916083916083916
130,OCI-R,kr,0.04559747607199353,-0.007318876362486367,0.15184815184815184,-0.04532206790528459,0.916083916083916
131,OCI-R,en,0.04887276977078292,-0.007414061168227071,0.15084915084915085,-0.03616982701933136,0.9100899100899101
142,OT,kr,0.19623146263098792,0.05536056283767773,0.006993006993006993,0.05943550661428898,0.057942057942057944
143,OT,en,0.10148950343215635,0.005699182698041816,0.059940059940059943,0.057649920209930317,0.03796203796203796
154,WBSI,kr,0.021775229991401173,-0.020783879421315172,0.3256743256743257,-2.5474745548592637e-05,0.0899100899100899
155,WBSI,en,0.019743338116189224,-0.02092093620114051,0.3306693306693307,-0.003537305838175797,0.09090909090909091
166,IUS-P,kr,0.2801170144533077,0.10478526471201018,0.002997002997002997,-0.2514433803950433,0.3166833166833167
167,IUS-P,en,0.11482342893912771,0.0703849711278846,0.002997002997002997,-0.14507037720301108,0.4975024975024975
175,IUS-I,kr,0.17566056357734347,0.029852025845915953,0.02197802197802198,0.047694664041299184,0.08491508491508491
176,IUS-I,en,0.12422864825894327,0.036321705342044076,0.013986013986013986,0.056105364441349725,0.06993006993006994
190,SES,kr,0.2081914269964614,0.07180657668770692,0.006993006993006993,0.019946648797049105,0.0939060939060939
191,SES,en,0.18713793382936986,0.06904166307649877,0.004995004995004995,0.02021133747894832,0.12487512487512488
