,DASS-21 Anx,STAI-T,BIS,RRQ,WBSI,OT,IUS-P,IUS-I,OCI-R,Checking,Hoarding,Obsessing,Ordering,Neutralizing,Washing,SES
count,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
mean,1.720421052631579,2.2352631578947366,3.029578947368421,3.551578947368421,3.4238947368421058,2.9031578947368417,3.0648421052631583,2.4294736842105262,2.2234736842105263,2.596315789473684,2.288105263157895,2.5752631578947365,2.6737894736842107,1.452421052631579,1.7537894736842103,2.92
std,0.528568903618607,0.4785874876963473,0.5803699651075097,0.9016386436745671,0.8038398567099401,1.1886704320886776,0.8057632709136491,0.9980901429820884,0.634240147812288,1.0607148062872547,0.9659326496482608,1.107815149035313,1.1847284200874397,0.582511288870911,0.859997771046522,0.7185658230846101
min,1.0,1.3,1.86,1.33,1.53,1.0,1.0,1.0,1.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,1.29,1.8875,2.57,3.0,2.915,2.0,2.535,1.6,1.72,1.67,1.67,1.67,1.67,1.0,1.0,2.375
50%,1.57,2.2,3.0,3.58,3.565,2.8,3.0324210526315785,2.3,2.22,2.6331578947368417,2.0,2.33,2.67,1.33,1.33,3.0
75%,2.0,2.5625,3.57,4.25,4.07,3.8,3.605,3.2,2.67,3.33,3.0,3.415,3.415,1.67,2.0825,3.5
max,3.29,3.4,4.0,5.0,5.0,5.4,4.86,4.8,3.72,5.0,5.0,5.0,5.0,3.0,4.33,4.0
